config,Tokens,Documents,Tokens/Document
all,50547777921,9872444,5120
r_legaladvice,72605386,146671,495
courtlistener_docket_entry_documents,12713614864,1983436,6409
atticus_contracts,7997013703,650833,12287
courtlistener_opinions,15899704961,4518445,3518
federal_register,39854787,5414,7361
bva_opinions,4084140080,839523,4864
us_bills,320723838,112483,2851
cc_casebooks,24857378,73,340512
tos,391890,50,7837
euro_parl,71344326,9672,7376
nlrb_decisions,294471818,32080,9179
scotus_oral_arguments,108228951,7996,13535
cfr,160849007,243,661930
state_codes,1858333235,217,8563747
scotus_filings,593870413,63775,9311
bar_exam_outlines,346924,59,5880
edgar,2936402810,987926,2972
cfpb_creditcard_contracts,25984824,2638,9850
constitutions,5984865,187,32004
congressional_hearings,1801110892,31514,57152
oig,566782244,38954,14550
olc_memos,12764635,1384,9223
uscode,78466325,58,1352867
founding_docs,100390231,183664,546
ftc_advisory_opinions,509025,145,3510
echr,28374996,8480,3346
eurlex,401324829,142036,2825
tax_rulings,166915887,54064,3087
un_debates,31152497,8481,3673
fre,173325,68,2548
frcp,427614,92,4647
canadian_decisions,45438083,11343,4005
eoir,6109737,2229,2741
dol_ecab,99113541,28211,3513
