Source,Size (MB),Tokens,Documents,Tokens/Document
all,473G,50547777921,9872444,5120
atticus_contracts,77G,7997013703,650833,12287
bar_exam_outlines,3M,346924,59,5880
bva_opinions,32G,4084140080,839523,4864
canadian_decisions,463M,45438083,11343,4005
cc_casebooks,245M,24857378,73,340512
cfpb_creditcard_contracts,178M,25984824,2638,9850
cfr,1G,160849007,243,661930
congressional_hearings,15G,1801110892,31514,57152
constitutions,62M,5984865,187,32004
courtlistener_docket_entry_documents,129G,12713614864,1983436,6409
courtlistener_opinions,147G,15899704961,4518445,3518
dol_ecab,898M,99113541,28211,3513
echr,283M,28374996,8480,3346
edgar,26G,2936402810,987926,2972
eoir,58M,6109737,2229,2741
eurlex,3G,401324829,142036,2825
euro_parl,769M,71344326,9672,7376
federal_register,405M,39854787,5414,7361
founding_docs,1G,100390231,183664,546
frcp,4M,427614,92,4647
fre,1M,173325,68,2548
ftc_advisory_opinions,3M,509025,145,3510
nlrb_decisions,2G,294471818,32080,9179
oig,4G,566782244,38954,14550
olc_memos,94M,12764635,1384,9223
r_legaladvice,760M,72605386,146671,495
scotus_filings,3G,593870413,63775,9311
scotus_oral_arguments,1G,108228951,7996,13535
state_codes,16G,1858333235,217,8563747
tax_rulings,1G,166915887,54064,3087
tos,3M,391890,50,7837
un_debates,343M,31152497,8481,3673
us_bills,3G,320723838,112483,2851
uscode,682M,78466325,58,1352867
