config,Tokens,Documents,Tokens/Document
bg_caselaw,179453583,104434,1718
cs_caselaw,208895704,104519,1998
da_caselaw,46535791,59328,784
de_caselaw,337759616,104228,3240
el_caselaw,386130014,105138,3672
en_caselaw,316782142,104422,3033
es_caselaw,312501137,104312,2995
et_caselaw,188899781,105111,1797
fi_caselaw,280391862,105119,2667
fr_caselaw,400304923,104228,3840
ga_caselaw,1322015,105205,12
hr_caselaw,108134448,104434,1035
hu_caselaw,206954585,105144,1968
it_caselaw,46071081,59116,779
lt_caselaw,202588185,105477,1920
lv_caselaw,205473532,105242,1952
mt_caselaw,320156230,105479,3035
nl_caselaw,338694761,105005,3225
pl_caselaw,212977774,105479,2019
pt_caselaw,303574704,104312,2910
ro_caselaw,187613531,105516,1778
sk_caselaw,205490717,105608,1945
sl_caselaw,192339474,105608,1821
sv_caselaw,276785972,105980,2611
all_caselaw,5465831562,2428444,2250
bg_decision,102781999,54075,1900
cs_decision,114330830,54075,2114
da_decision,161197980,54085,2980
de_decision,169687102,53980,3143
el_decision,182486411,54150,3370
en_decision,176469698,54054,3264
es_decision,147730710,54001,2735
et_decision,107752981,54159,1989
fi_decision,133158370,54163,2458
fr_decision,182025567,53981,3372
ga_decision,9132798,54189,168
hr_decision,61443063,54075,1136
hu_decision,112655714,54156,2080
it_decision,166154664,53983,3077
lt_decision,53711077,21841,2459
lv_decision,112930883,54224,2082
mt_decision,161249825,54280,2970
nl_decision,178362332,54152,3293
pl_decision,115926181,54287,2135
pt_decision,148950694,54007,2757
ro_decision,103349951,54281,1903
sk_decision,114735132,54349,2111
sl_decision,108465814,54349,1995
sv_decision,129521101,54357,2382
all_decision,3054210877,1267253,2410
bg_directive,28004882,4388,6382
cs_directive,28119441,4388,6408
da_directive,32246780,4388,7348
de_directive,32100715,4385,7320
el_directive,38513818,4390,8773
en_directive,28841387,4388,6572
es_directive,31679902,4385,7224
et_directive,25983417,4390,5918
fi_directive,30439964,4389,6935
fr_directive,34239059,4385,7808
ga_directive,2881950,4390,656
hr_directive,19255268,4388,4388
hu_directive,27421410,4389,6247
it_directive,31786252,4385,7248
lt_directive,13428712,2072,6481
lv_directive,27612314,4392,6286
mt_directive,45493266,4392,10358
nl_directive,33850801,4388,7714
pl_directive,29102885,4392,6626
pt_directive,31807446,4385,7253
ro_directive,27651600,4392,6295
sk_directive,27728158,4393,6311
